Fullname,Fullname_GR,Τitle,Party_EN,Party_EN_2,Party_GR,Region,Link_DOI
Tsipras Alexios (Alexis),Τσίπρας Αλέξιος (Αλέξης),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Achaia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/TSIPRAS_ALEXIOS_1995992_2021.pdf
Tsipras Georgios,Τσίπρας Γεώργιος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Western Attica,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/TSIPRAS_GEORG_2099265_2021.pdf
Tsirkas Vasileios,Τσίρκας Βασίλειος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Arta,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/TSIRKAS_BASILEIOS_2034072_2021.pdf
Tsogkas Georgios,Τσόγκας Γεώργιος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Korinthia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/TSOGKAS_GEORGIOS_2080990_2021.pdf
Ypsilantis  Vasileios - Nikolaos,Υψηλάντης Βασίλειος - Νικόλαος,Member of Greek Parliamet,New Democracy,New Democracy,Νέα Δημοκρατία,Dodecanese,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/YPSILANTIS_BASILEIOS_NIKOLAOS_2284247_2021.pdf
Famellos Socrates,Φάμελλος Σωκράτης,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,B'Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/FAMELLOS_SOKRATIS_2157772_2021.pdf
Filis Nikolaos,Φίλης Νικόλαος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,A'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/FILIS_NIKOLAOS_2224348_2021.pdf
Flampouraris Alexandros,Φλαμπουράρης Αλέξανδρος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,A'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/FLAMPOYRARIS_ALEXANDROS_2054400_2021.pdf
Fortsakis Theodoros,Φορτσάκης Θεόδωρος,Member of Greek Parliamet,New Democracy,New Democracy,Νέα Δημοκρατία,State Deputy,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/FORTSAKIS_THEODOROS_2277260_2021.pdf
Fortomas Filippos,Φόρτωμας Φίλιππος,Member of Greek Parliamet,New Democracy,New Democracy,Νέα Δημοκρατία,Cyclades,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/FORTOMAS_FILIPPOS_2217823_2021.pdf
Fraggidis Georgios,Φραγγίδης Γεώργιος,Member of Greek Parliament,Movement of Change,Movement of Change,Κίνημα Αλλαγής,Kilkis,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/FRAGGIDIS_GEORGIOS_2167543_2021.pdf
Fotilas Iason,Φωτήλας Ιάσων,Member of Greek Parliamet,New Democracy,New Democracy,Νέα Δημοκρατία,Achaia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/FOTILAS_IASON_2040456_2021.pdf
Fotiou Theano,Φωτίου Θεανώ,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/FOTIOY_THEANO_2157103_2021.pdf
Charakopoulos Maximos,Χαρακόπουλος Μάξιμος,Member of Greek Parliamet,New Democracy,New Democracy,Νέα Δημοκρατία,Larisa,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/CHARAKOPOYLOS_MAXIMOS_1960042_2021.pdf
Charitou Dimitrios (Takis),Χαρίτου Δημήτριος (Τάκης),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Rhodopi,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/CHARITOY_DIMITRIOS_2200767_2021.pdf
Charitsis Alexandros (Alexis),Χαριτσης Αλέξανδρος (Αλέξης),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Messinia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/CHARITSIS_ALEXANDROS_2278544_2021.pdf
Chatzivasileiou Anastasios (Tasos),Χατζηβασιλείου Αναστάσιος (Τάσος),Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Serres,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/CHATZIBASILEIOY_ANASTASIOS_2012948_2021.pdf
Chatzigiannakis Miltiades (miltos),Χατζηγιαννάκης Μιλτιάδης (Μίλτος),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Euboea,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/CHATZIGIANNAKIS_MILTIADIS_2147162_2021.pdf
Chatzidakis Konstantinos (Kostis),Χατζηδάκης Κωνσταντίνος (Κωστής),Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/CHATZIDAKIS_KONSTANTINOS_2286847_2021.pdf
Chatzidakis Dionysios,Χατζηδάκης Διονύσιος,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/CHATZIDAKIS_DIONYSIOS_1982554_2021.pdf
Chatzisavvas Christos,Χατζησάββας Χρήστος,Member of Greek Parliament,Golden Dawn,Golden Dawn,Χρυσή Αυγή,Kilkis,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/CHATZISABBAS_CHRISTOS_2020556_2021.pdf
Cheimaras Themistoklis (Themis),Χειμαράς Θεμιστοκλής (Θέμης),Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Phthiotis,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/CHEIMARAS_THEMISTOKLIS_2024301_2021.pdf
Chitas Konstantinos,Χήτας Κωνσταντίνος,Member of Greek Parliament,Greek Solution,Greek Solution,Ελληνική Λύση,A'Thessaloniki,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/CHITAS_KONSTANTINOS_2115186_2021.pdf
Chionidis Savvas,Χιονίδης Σάββας,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Pieria,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/CHIONIDIS_SABBAS_2052295_2021.pdf
Christidou Rallia,Χρηστιδου Ραλλία,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,B'Athens,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/CHRISTIDOY_RALLIA_2024474_2021.pdf
Christodoulopoulou Anastasia (Tasia),Χριστοδουλοπούλου Αναστασία (Τασία),Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,State Deputy,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/CHRISTODOYLOPOYLOY_ANASTASIA_2275153_2021.pdf
Christofilopoulou Paraskevi (Evi),Χριστοφιλοπούλου Παρασκευή (Εύη),Member of Greek Parliament,Democratic Allignment,Democratic Allignment,Δημοκρατική Συμπαράταξη,Attica,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/CHRISTOFILOPOYLOY_PARASK_2217327_2021.pdf
Chrisomallis Miltiadis,Χρυσομάλλης Μιλτιάδης,Member of Greek Parliament,New Democracy,New Democracy,Νέα Δημοκρατία,Messinia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/CHRYSOMALLIS_MILTIADIS_2083805_2021.pdf
Psychogios Georgios,Ψυχογιός Γεώργιος,Member of Greek Parliament,SYRIZA,SYRIZA,ΣΥΡΙΖΑ,Korinthia,https://www.hellenicparliament.gr/userfiles/pothen/xrhsh2020_etos2021/PSYCHOGIOS_GEORGIOS_2205867_2021.pdf
